URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-townhouse-vic-reservoir-150553452,Reservoir,3073,3/39 Fordham Road,-37.71413604,145.019633,2,1,townhouse,1,2026-03-20,,,"$660,000"
property-unit-vic-reservoir-150189648,Reservoir,3073,1/945 High Street,-37.7107019,145.0083799,2,1,unit,1,2026-03-20,,,"$410,000"
property-unit-vic-reservoir-150402940,Reservoir,3073,1/18 Winter Crescent,-37.71920448,145.02818,2,1,unit,1,2026-03-19,312,m2,"$735,000"
property-house-vic-reservoir-150327504,Reservoir,3073,10 Tivey Street,-37.706073,145.002009,4,2,house,2,2026-03-18,769,m2,"$1,670,000"
property-house-vic-reservoir-150472884,Reservoir,3073,10 Verdun Grove,-37.727984,145.001625,2,1,house,2,2026-03-18,,,"$1,162,000"
property-townhouse-vic-reservoir-150380864,Reservoir,3073,2/15 Daventry Street,-37.714205,145.001144,2,2,townhouse,1,2026-03-18,,,"$805,000"
property-unit-vic-reservoir-150337008,Reservoir,3073,5/13 Fyfe Street,-37.705773,145.011892,2,1,unit,1,2026-03-18,,,"$611,888"
property-house-vic-reservoir-150418112,Reservoir,3073,33 Charlton Crescent,-37.71847,145.023685,3,2,house,2,2026-03-17,590,m2,"$948,000"
property-house-vic-reservoir-150401364,Reservoir,3073,47 Lane Crescent,-37.713431,145.018794,3,1,house,5,2026-03-17,636,m2,"$840,000"
property-unit-vic-reservoir-150489000,Reservoir,3073,2/10 Acheron Avenue,-37.72373986,145.0170335,2,1,unit,1,2026-03-17,109,m2,"$601,000"
property-townhouse-vic-reservoir-149991008,Reservoir,3073,1/11 Elsey Road,-37.70552565,145.0137967,3,2,townhouse,2,2026-03-16,187,m2,"$745,000"
property-unit-vic-reservoir-150518832,Reservoir,3073,5/58 Miranda Road,-37.70700767,145.0208621,2,1,unit,1,2026-03-15,,,"$570,000"
property-house-vic-reservoir-150345500,Reservoir,3073,27 Marchant Avenue,-37.714821,145.012529,3,2,house,4,2026-03-14,650,m2,"$1,220,000"
property-house-vic-reservoir-150265668,Reservoir,3073,27 Broadhurst Avenue,-37.708709,145.005478,3,1,house,5,2026-03-14,836,m2,"$1,002,000"
property-house-vic-reservoir-150330628,Reservoir,3073,45 Frankston Street,-37.724709,144.997696,2,1,house,2,2026-03-14,309,m2,"$975,000"
property-house-vic-reservoir-150336580,Reservoir,3073,47 Kelsby Street,-37.712249,144.998463,2,1,house,1,2026-03-14,498,m2,"$883,000"
property-house-vic-reservoir-150348004,Reservoir,3073,17 Colthur Street,-37.70957,144.990368,3,1,house,2,2026-03-14,418,m2,"$818,000"
property-house-vic-reservoir-150339168,Reservoir,3073,35 Erskine Avenue,-37.72211,145.02419,2,1,house,1,2026-03-14,656,m2,"$813,000"
property-house-vic-reservoir-150257260,Reservoir,3073,32 Cheddar Road,-37.711741,145.011579,2,1,house,2,2026-03-14,585,m2,"$775,000"
property-townhouse-vic-reservoir-150304388,Reservoir,3073,10/10 Crevelli Street,-37.73196557,145.0298152,3,2,townhouse,2,2026-03-14,,,"$725,000"
property-unit-vic-reservoir-150228492,Reservoir,3073,1/11 Erskine Avenue,-37.72351912,145.0251691,2,1,unit,2,2026-03-14,279,m2,"$696,000"
property-unit-vic-reservoir-150332400,Reservoir,3073,3/43 Byfield Street,-37.71322544,145.0040292,2,1,unit,1,2026-03-14,,,"$651,000"
property-house-vic-reservoir-150244488,Reservoir,3073,203 Spring Street,-37.721493,145.002571,3,1,house,2,2026-03-14,579,m2,"$650,000"
property-unit-vic-reservoir-150333724,Reservoir,3073,4/165 Broadhurst Avenue,-37.70726065,144.9888327,2,1,unit,2,2026-03-14,,,"$627,000"
property-unit-vic-reservoir-150340060,Reservoir,3073,2/52 Miranda Road,-37.70709661,145.0215694,2,1,unit,1,2026-03-14,,,"$590,000"
property-house-vic-reservoir-146109304,Reservoir,3073,26 Spratling Street,-37.716421,144.995242,3,1,house,2,2026-03-13,892,m2,"$1,390,000"
property-house-vic-reservoir-150409200,Reservoir,3073,74 Strathmerton Street,-37.71259471,145.0163473,3,2,house,2,2026-03-13,284,m2,"$880,000"
property-townhouse-vic-reservoir-150406104,Reservoir,3073,2/173A Spring Street,-37.72345528,145.001182,2,1,townhouse,1,2026-03-13,,,"$783,000"
property-townhouse-vic-reservoir-150037304,Reservoir,3073,3 Elinda Place,-37.696795,145.022543,3,2,townhouse,2,2026-03-13,,,"$690,000"
property-unit-vic-reservoir-149673340,Reservoir,3073,2/22 Dumbarton Street,-37.701487,145.025588,2,1,unit,6,2026-03-13,388,m2,"$670,000"
property-house-vic-reservoir-150406964,Reservoir,3073,1/90 Purinuan Road,-37.70827385,145.0228137,3,1,house,2,2026-03-12,,,"$860,000"
property-unit-vic-reservoir-150252580,Reservoir,3073,4/1067 High Street,-37.69823113,145.0106278,2,1,unit,1,2026-03-10,83,m2,"$450,000"
property-house-vic-reservoir-150244980,Reservoir,3073,25 Locksley Avenue,-37.722974,144.994249,3,1,house,3,2026-03-07,555,m2,"$1,162,000"
property-house-vic-reservoir-150242556,Reservoir,3073,27 Newton Street,-37.731726,145.02634,3,1,house,2,2026-03-07,612,m2,"$862,000"
property-house-vic-reservoir-150254732,Reservoir,3073,14 Clements Grove,-37.714059,145.023462,3,1,house,2,2026-03-07,697,m2,"$846,000"
property-unit-vic-reservoir-150248844,Reservoir,3073,2/21 Dumbarton Street,-37.70181936,145.0257717,3,1,unit,1,2026-03-07,371,m2,"$800,000"
property-townhouse-vic-reservoir-150100096,Reservoir,3073,3/17-19 Barwon Avenue,-37.723491,145.023779,2,1,townhouse,1,2026-03-06,,,"$678,000"
property-townhouse-vic-reservoir-150333684,Reservoir,3073,3/62 Cheddar Road,-37.707844,145.014576,3,2,townhouse,1,2026-03-05,,,"$800,000"
property-townhouse-vic-reservoir-149914000,Reservoir,3073,7/32 Lane Crescent,-37.71489594,145.0171027,2,1,townhouse,1,2026-03-05,,,"$600,000"
property-townhouse-vic-reservoir-150254204,Reservoir,3073,5/3 Barry Street,-37.70992602,145.0069971,2,1,townhouse,1,2026-03-05,,,"$585,000"
property-townhouse-vic-reservoir-150056260,Reservoir,3073,2/50 Chaleyer Street,-37.72747846,145.0226028,2,1,townhouse,1,2026-03-04,,,"$690,000"
property-house-vic-reservoir-150214448,Reservoir,3073,5A Bonview Street,-37.71876837,144.9902447,4,3,house,2,2026-03-03,,,"$1,420,000"
property-house-vic-reservoir-150285584,Reservoir,3073,773 Plenty Road,-37.726843,145.020524,2,1,house,4,2026-03-03,706,m2,"$987,500"
property-house-vic-reservoir-149999896,Reservoir,3073,1/6 Aberdeen Street,-37.7034477,145.0186282,3,1,house,2,2026-03-03,392,m2,"$715,000"
property-unit-vic-reservoir-149248204,Reservoir,3073,5/13 Elsey Road,-37.70537006,145.013551,1,1,unit,1,2026-03-02,,,"$430,000"
property-house-vic-reservoir-150205692,Reservoir,3073,9 Mack Street,-37.70202,145.013869,4,1,house,2,2026-02-28,774,m2,"$1,465,000"
property-house-vic-reservoir-150179128,Reservoir,3073,56 Tambo Avenue,-37.719545,145.019028,3,1,house,7,2026-02-28,637,m2,"$1,325,000"
property-house-vic-reservoir-150156872,Reservoir,3073,42 Drysdale Street,-37.729087,145.02051,4,2,house,2,2026-02-28,748,m2,"$1,317,000"
property-house-vic-reservoir-150133956,Reservoir,3073,8 Bray Street,-37.699446,144.988555,4,2,house,4,2026-02-28,766,m2,"$1,220,000"
property-house-vic-reservoir-150208376,Reservoir,3073,35 Elliot Street,-37.706126,144.997709,3,1,house,4,2026-02-28,502,m2,"$930,000"
property-house-vic-reservoir-150190592,Reservoir,3073,20 Suffolk Street,-37.7072077,145.0115205,4,2,house,2,2026-02-28,282,m2,"$908,000"
property-house-vic-reservoir-150194024,Reservoir,3073,42 Moira Avenue,-37.69638,144.981084,3,1,house,2,2026-02-28,534,m2,"$887,000"
property-house-vic-reservoir-150179760,Reservoir,3073,157 Spring Street,-37.724735,145.001338,2,1,house,2,2026-02-28,,,"$875,000"
property-house-vic-reservoir-150179560,Reservoir,3073,159 Henty Street,-37.717949,144.989166,3,1,house,3,2026-02-28,558,m2,"$833,000"
property-unit-vic-reservoir-150277848,Reservoir,3073,3/63 Kinsale Street,-37.71942935,144.9954495,1,1,unit,1,2026-02-27,106,m2,"$478,750"
property-house-vic-reservoir-150122764,Reservoir,3073,10 Wattlebird Crescent,-37.69362511,144.984943,6,4,house,4,2026-02-26,557,m2,"$1,500,000"
property-house-vic-reservoir-150174580,Reservoir,3073,40 Mason Street,-37.728008,145.007309,3,1,house,3,2026-02-26,763,m2,"$1,350,000"
property-house-vic-reservoir-150104572,Reservoir,3073,102 Massey Avenue,-37.69691525,144.990967,3,2,house,2,2026-02-26,571,m2,"$987,500"
property-house-vic-reservoir-150244972,Reservoir,3073,11 Tunaley Parade,-37.697099,145.024559,3,1,house,3,2026-02-26,586,m2,"$940,000"
property-house-vic-reservoir-150174588,Reservoir,3073,16 Nisbett Street,-37.727894,145.03376,3,1,house,4,2026-02-26,581,m2,"$780,000"
property-townhouse-vic-reservoir-150179360,Reservoir,3073,2/44 Storey Road,-37.723299,145.011826,3,2,townhouse,2,2026-02-25,182,m2,"$860,000"
property-unit-vic-reservoir-150113616,Reservoir,3073,2/24 Best Street,-37.71321629,144.9973453,2,1,unit,2,2026-02-25,,,"$695,000"
property-house-vic-reservoir-150086528,Reservoir,3073,7 Barwon Avenue,-37.724101,145.024148,4,3,house,3,2026-02-23,708,m2,"$1,530,000"
property-house-vic-reservoir-149653136,Reservoir,3073,23 Lloyd Avenue,-37.698159,145.015276,3,1,house,4,2026-02-23,564,m2,"$950,000"
property-house-vic-reservoir-150103124,Reservoir,3073,60 Winter Crescent,-37.716982,145.02579,3,1,house,2,2026-02-23,586,m2,"$880,000"
property-townhouse-vic-reservoir-150192436,Reservoir,3073,3/4 Mccrae Street,-37.70661048,145.0107996,3,3,townhouse,2,2026-02-23,,,"$790,000"
property-townhouse-vic-reservoir-150004988,Reservoir,3073,3/853 High Street,-37.72623403,145.0058793,2,2,townhouse,1,2026-02-23,,,"$713,000"
property-apartment-vic-reservoir-150185452,Reservoir,3073,6/767 High Street,-37.72919825,145.0053345,2,1,apartment,1,2026-02-23,,,"$545,000"
