URL,primary_school,secondary_school,preschool,train_station
property-house-vic-oakleigh-140809743,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-140948708,6.0,0.0,5.0,4.0
property-house-vic-oakleigh-141091204,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-141167740,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-141337900,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-141580908,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-141581188,6.0,0.0,4.0,3.0
property-house-vic-oakleigh-141772724,7.0,0.0,7.0,2.0
property-house-vic-oakleigh-141821528,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-141821940,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-141841092,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-141842352,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-141952500,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-142012476,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-142065296,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-142069200,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-142083272,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-142170684,6.0,0.0,6.0,3.0
property-house-vic-oakleigh-142196796,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-142214352,7.0,0.0,2.0,3.0
property-house-vic-oakleigh-142475156,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-142487532,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-142494148,8.0,0.0,1.0,4.0
property-house-vic-oakleigh-142521152,7.0,0.0,7.0,2.0
property-house-vic-oakleigh-142525100,7.0,1.0,4.0,4.0
property-house-vic-oakleigh-142643836,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-142719456,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-142720460,8.0,0.0,1.0,4.0
property-house-vic-oakleigh-142738948,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-142771168,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-142794940,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-142803676,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-142813300,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-142839328,7.0,0.0,3.0,4.0
property-house-vic-oakleigh-142887448,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-143046820,8.0,0.0,4.0,2.0
property-house-vic-oakleigh-143081792,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-143165012,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-143168128,8.0,0.0,2.0,3.0
property-house-vic-oakleigh-143199860,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-143253124,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-143253608,6.0,0.0,1.0,5.0
property-house-vic-oakleigh-143303636,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-143314308,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-143535884,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-143539912,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-143569376,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-143665516,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-143700500,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-143700552,7.0,0.0,1.0,5.0
property-house-vic-oakleigh-143704692,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-143762056,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-143831604,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-144063968,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-144134520,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-144169512,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-144290584,8.0,0.0,4.0,3.0
property-house-vic-oakleigh-144492752,6.0,0.0,7.0,2.0
property-house-vic-oakleigh-144630380,6.0,0.0,1.0,4.0
property-house-vic-oakleigh-144710620,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-144766656,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-144854492,7.0,0.0,6.0,3.0
property-house-vic-oakleigh-144892820,8.0,0.0,4.0,4.0
property-house-vic-oakleigh-144939556,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-144953076,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-145137004,6.0,0.0,5.0,3.0
property-house-vic-oakleigh-145319256,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-145374784,6.0,0.0,5.0,4.0
property-house-vic-oakleigh-145390440,8.0,0.0,4.0,2.0
property-house-vic-oakleigh-145433108,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-145442784,8.0,0.0,2.0,3.0
property-house-vic-oakleigh-145558724,7.0,0.0,1.0,4.0
property-house-vic-oakleigh-145616700,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-145798568,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-145812852,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-145813780,8.0,0.0,5.0,2.0
property-house-vic-oakleigh-145866712,6.0,0.0,7.0,2.0
property-house-vic-oakleigh-145877452,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-145963004,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-146039980,8.0,0.0,4.0,3.0
property-house-vic-oakleigh-146055948,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-146073768,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-146117852,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-146145320,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-146170820,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-146297072,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-146399432,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-146494292,6.0,1.0,4.0,4.0
property-house-vic-oakleigh-146553532,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-146683188,6.0,1.0,4.0,4.0
property-house-vic-oakleigh-146791128,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-146813684,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-147051036,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-147083928,6.0,0.0,7.0,2.0
property-house-vic-oakleigh-147115624,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-147264788,6.0,0.0,7.0,2.0
property-house-vic-oakleigh-147360484,7.0,0.0,6.0,2.0
