URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Y = Sold price
property-townhouse-vic-reservoir-145220104,Reservoir,3073,20 White Street,-37.70973884,145.0097147,2.0,1.0,townhouse,1.0,2024-07-08,120.0,"$535,000"
property-house-vic-reservoir-145253304,Reservoir,3073,148 Spring Street,-37.726106,145.001448,3.0,1.0,house,1.0,2024-07-06,402.0,"$910,000"
property-townhouse-vic-reservoir-145203984,Reservoir,3073,1/58 Marchant Avenue,-37.71360963,145.0152395,3.0,2.0,townhouse,2.0,2024-07-06,212.0,"$700,000"
property-townhouse-vic-reservoir-145220796,Reservoir,3073,3/97 Cuthbert Road,-37.71635074,145.0115035,2.0,1.0,townhouse,1.0,2024-07-06,109.0,"$625,000"
property-house-vic-reservoir-145185728,Reservoir,3073,28 Barwon Avenue,-37.72276,145.023719,3.0,1.0,house,2.0,2024-07-04,673.0,"$1,005,000"
property-house-vic-reservoir-144309616,Reservoir,3073,42 Seston Street,-37.730004,145.034374,2.0,1.0,house,2.0,2024-07-02,603.0,"$715,000"
property-house-vic-reservoir-145180828,Reservoir,3073,3 Hillcroft Street,-37.719593,144.989949,3.0,2.0,house,1.0,2024-06-29,557.0,"$1,150,000"
property-house-vic-reservoir-144940068,Reservoir,3073,26 Gisborne Crescent,-37.71935,145.023515,3.0,1.0,house,3.0,2024-06-27,598.0,"$800,000"
property-house-vic-reservoir-145161508,Reservoir,3073,43 Miranda Road,-37.707469,145.022254,4.0,1.0,house,6.0,2024-06-24,892.0,"$1,100,000"
property-house-vic-reservoir-145083072,Reservoir,3073,38 Manoel Avenue,-37.699062,145.034715,3.0,2.0,house,2.0,2024-06-22,841.0,"$1,087,000"
property-house-vic-reservoir-145073844,Reservoir,3073,7 Pratt Street,-37.710958,145.010034,3.0,1.0,house,4.0,2024-06-22,636.0,"$890,000"
property-unit-vic-reservoir-145070044,Reservoir,3073,2/20 Erskine Avenue,-37.72315145,145.0253178,3.0,1.0,unit,2.0,2024-06-22,261.0,"$721,000"
property-unit-vic-reservoir-145109888,Reservoir,3073,2/123 Boldrewood Parade,-37.71467114,145.0219856,2.0,1.0,unit,1.0,2024-06-22,147.0,"$565,000"
property-unit-vic-reservoir-144659260,Reservoir,3073,4/16 View Street,-37.71923925,144.9911434,2.0,1.0,unit,1.0,2024-06-21,165.0,"$651,000"
property-house-vic-reservoir-144074360,Reservoir,3073,47 Lane Crescent,-37.713431,145.018794,3.0,1.0,house,1.0,2024-06-18,636.0,"$710,000"
property-house-vic-reservoir-143583704,Reservoir,3073,7 Dredge Street,-37.694871,144.998262,4.0,2.0,house,6.0,2024-06-17,920.0,"$965,000"
property-townhouse-vic-reservoir-144687628,Reservoir,3073,1/105 Cheddar Road,-37.70479985,145.0154738,2.0,1.0,townhouse,1.0,2024-06-14,264.0,"$600,000"
property-house-vic-reservoir-144864376,Reservoir,3073,63 Glasgow Avenue,-37.703449,144.999256,3.0,1.0,house,2.0,2024-06-13,876.0,"$850,000"
property-house-vic-reservoir-144185084,Reservoir,3073,64 Rathcown Road,-37.709995,145.028301,3.0,1.0,house,2.0,2024-06-13,742.0,"$790,000"
property-townhouse-vic-reservoir-144866936,Reservoir,3073,1/6 Broadhurst AVENUE,-37.70859127,145.0078062,2.0,2.0,townhouse,1.0,2024-06-12,277.0,"$720,000"
property-house-vic-reservoir-144844356,Reservoir,3073,20 Tunaley Parade,-37.696775,145.024591,3.0,1.0,house,4.0,2024-06-11,586.0,"$706,000"
property-townhouse-vic-reservoir-143975000,Reservoir,3073,98 Whitelaw Street,-37.71248356,145.0221329,3.0,2.0,townhouse,1.0,2024-06-11,160.0,"$675,000"
property-house-vic-reservoir-145118496,Reservoir,3073,54 Purinuan Road,-37.7088149,145.0272642,3.0,2.0,house,3.0,2024-06-07,412.0,"$961,000"
property-house-vic-reservoir-144967140,Reservoir,3073,30 Loddon Avenue,-37.721931,145.025874,3.0,1.0,house,6.0,2024-06-04,670.0,"$820,000"
property-house-vic-reservoir-144934428,Reservoir,3073,115 Purinuan Road,-37.70848924,145.0220049,3.0,1.0,house,2.0,2024-06-04,410.0,"$725,000"
