URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-unit-vic-oakleigh-131678602,Oakleigh,3166,1/98 Haughton Road,-37.907856,145.09761,2,1,unit,1,2019-08-22,,,"$730,000"
property-house-vic-oakleigh-131594850,Oakleigh,3166,14 Andrew Street,-37.906968,145.094505,3,1,house,2,2019-08-17,613,m2,"$970,000"
property-house-vic-oakleigh-131541662,Oakleigh,3166,59 Westgate Street,-37.908768,145.086064,3,2,house,2,2019-08-10,,,"$1,205,000"
property-house-vic-oakleigh-131487766,Oakleigh,3166,12 Merbow Street,-37.901404,145.10016,3,1,house,1,2019-08-03,589,m2,"$1,090,000"
property-house-vic-oakleigh-131250558,Oakleigh,3166,50 Davey Avenue,-37.903394,145.090901,4,1,house,1,2019-07-24,,,"$1,000,000"
property-house-vic-oakleigh-131393790,Oakleigh,3166,71 Burlington Street,-37.902635,145.098988,3,1,house,2,2019-07-20,,,"$1,120,000"
property-apartment-vic-oakleigh-131458266,Oakleigh,3166,20/82-86 Atherton Road,-37.899535,145.093755,1,1,apartment,1,2019-07-19,,,"$370,000"
property-house-vic-oakleigh-130625986,Oakleigh,3166,1460 Dandenong Road,-37.895924,145.096535,3,1,house,1,2019-07-02,589,m2,"$700,000"
property-house-vic-oakleigh-131224834,Oakleigh,3166,15 Eastgate Street,-37.905313,145.08871,3,2,house,2,2019-06-22,543,m2,"$1,201,000"
property-house-vic-oakleigh-131197690,Oakleigh,3166,28 Queens Avenue,-37.904095,145.088936,3,1,house,1,2019-06-22,,,"$1,138,000"
property-house-vic-oakleigh-131209530,Oakleigh,3166,125 Atherton Road,-37.899476,145.097283,4,2,house,2,2019-06-15,694,m2,"$1,564,000"
property-house-vic-oakleigh-130402934,Oakleigh,3166,29 Bishop Street,-37.906947,145.092878,4,2,house,4,2019-06-08,565,m2,"$1,018,000"
property-apartment-vic-oakleigh-130637666,Oakleigh,3166,107/19-21 Hanover Street,-37.900843,145.091641,1,1,apartment,1,2019-06-05,,,"$345,000"
property-apartment-vic-oakleigh-131059814,Oakleigh,3166,18/79 Atherton Road,-37.898852,145.09391,2,1,apartment,1,2019-05-25,,,"$437,000"
property-house-vic-oakleigh-131025682,Oakleigh,3166,165 Atherton Road,-37.900125,145.101868,3,1,house,4,2019-05-18,970,m2,"$1,480,000"
property-house-vic-oakleigh-130964638,Oakleigh,3166,22A Clyde Street,-37.897528,145.096013,2,1,house,1,2019-05-11,,,"$835,000"
property-townhouse-vic-oakleigh-130730882,Oakleigh,3166,2/12 Parer Street,-37.909873,145.098591,4,2,townhouse,2,2019-05-10,263,m2,"$960,000"
property-apartment-vic-oakleigh-130869218,Oakleigh,3166,201/148 Warrigal Road,-37.90664,145.085923,2,2,apartment,1,2019-05-10,,,"$546,000"
property-house-vic-oakleigh-130892558,Oakleigh,3166,1/5 Heath Avenue,-37.900827,145.096657,3,1,house,2,2019-04-27,,,"$955,000"
property-house-vic-oakleigh-130660942,Oakleigh,3166,1516 Dandenong Road,-37.898759,145.101229,2,1,house,1,2019-04-18,697,m2,"$849,000"
property-house-vic-oakleigh-130964230,Oakleigh,3166,65 Drummond Street,-37.889931,145.090956,5,3,house,2,2019-04-11,660,m2,"$1,430,000"
property-house-vic-oakleigh-130606170,Oakleigh,3166,60 Haughton Road,-37.90552,145.0943,4,2,house,2,2019-03-30,,,"$1,340,000"
property-townhouse-vic-oakleigh-130522466,Oakleigh,3166,2/8 Willgilson Court,-37.905902,145.092235,3,2,townhouse,2,2019-03-25,,,"$730,000"
property-apartment-vic-oakleigh-130102622,Oakleigh,3166,501/83-85 Drummond Street,-37.892402,145.090522,2,2,apartment,1,2019-03-13,,,"$495,000"
property-townhouse-vic-oakleigh-130424434,Oakleigh,3166,1/77 Burlington Street,-37.902695,145.099504,4,2,townhouse,2,2019-03-02,,,"$878,000"
